votes,answers,views,question,tags,user,user_reputation,time_asked
2953,7,2.1m,"I'm trying to understand the use of super(). From the looks of it, both child classes can be created, just fine. I'm curious to know about the actual difference between the following 2 child classes....",python class oop inheritance super,Mizipzor,48.1k,"asked Feb 23, 2009 at 0:30"
2928,23,1.0m,"In the following method definitions, what does the * and ** do for param2? def foo(param1, *param2): def bar(param1, **param2):",python syntax parameter-passing variadic-functions argument-unpacking,Todd,30.6k,"asked Aug 31, 2008 at 15:04"
2927,13,4.7m,"How can I select rows from a DataFrame based on values in some column in Pandas? In SQL, I would use: SELECT * FROM table WHERE column_name = some_value I tried to look at Pandas' documentation, but ...",python pandas dataframe,szli,32.1k,"asked Jun 12, 2013 at 17:42"
2851,15,2.6m,How do I delete a file or folder in Python?,python file-io directory delete-file,Zygimantas,28.8k,"asked Aug 9, 2011 at 13:05"
2796,24,4.6m,How do you change the size of figure drawn with Matplotlib?,python graph matplotlib plot visualization,tatwright,33.7k,"asked Dec 1, 2008 at 21:24"
2796,12,2.4m,How can I raise an exception in Python so that it can later be caught via an except block?,python exception,TIMEX,233k,"asked Jan 12, 2010 at 21:07"
2795,69,1.4m,"I have a list of arbitrary length, and I need to split it up into equal size chunks and operate on it. There are some obvious ways to do this, like keeping a counter and two lists, and when the second ...",python list split chunks,jespern,29.7k,"asked Nov 23, 2008 at 12:15"
2739,56,1.9m,How can I output colored text to the terminal in Python?,python terminal output ansi-colors,aboSamoor,27.6k,"asked Nov 13, 2008 at 18:58"
2709,15,2.4m,I set an environment variable that I want to access in my Python application. How do I get its value?,python environment-variables,Amit Yadav,28.1k,"asked Feb 5, 2011 at 13:03"
2705,25,4.0m,I've got a huge list of date-times like this as strings: Jun 1 2005 1:33PM Aug 28 1999 12:00AM I'm going to be shoving these back into proper datetime fields in a database so I need to magic them ...,python datetime,Oli,226k,"asked Jan 21, 2009 at 18:00"
2691,13,4.0m,"In Python, what commands can I use to find: the current directory (where I was in the terminal when I ran the Python script), and where the file I am executing is?",python directory,John Howard,54.6k,"asked Feb 28, 2011 at 1:51"
2679,16,5.0m,"I wanted to test if a key exists in a dictionary before updating the value for the key. I wrote the following code: if 'key1' in dict.keys(): print ""blah"" else: print ""boo"" I think this is not ...",python dictionary,Mohan Gulati,28.2k,"asked Oct 21, 2009 at 19:05"
2674,40,3.2m,pip is a replacement for easy_install. But should I install pip using easy_install on Windows? Is there a better way?,python windows installation pip easy-install,"48 revs, 17 users 48%",mit,mit
2644,11,285k,"It is my understanding that the range() function, which is actually an object type in Python 3, generates its contents on the fly, similar to a generator. This being the case, I would have expected ...",python performance python-3.x range python-internals,Rick supports Monica,37.6k,"asked May 6, 2015 at 15:32"
2583,30,4.5m,"In Python, how can I parse a numeric string like ""545.2222"" to its corresponding float value, 545.2222 ? Or parse the string ""31"" to an integer, 31? I just want to know how to ...",python parsing floating-point type-conversion integer,Tristan Havelick,62.4k,"asked Dec 19, 2008 at 1:52"
2537,21,2.8m,"In Python, how do you get the last element of a list?",python list indexing,Janusz,181k,"asked May 30, 2009 at 19:28"
2487,32,4.6m,I have a DataFrame using Pandas and column labels that I need to edit to replace the original column labels. I'd like to change the column names in a DataFrame A where the original column names are: ['...,python pandas replace dataframe rename,user1504276,25k,"asked Jul 5, 2012 at 14:21"
2472,15,3.4m,"Is there a way to substring a string in Python, to get a new string from the third character to the end of the string? Maybe like myString[2:end]? If leaving the second part means 'till the end', ...",python string substring,Joan Venge,287k,"asked Mar 19, 2009 at 17:29"
2464,15,2.2m,"When deleting a key from a dictionary, I use: if 'key' in my_dict: del my_dict['key'] Is there a one line way of doing this?",python dictionary unset,Tony,33.1k,"asked Jun 30, 2012 at 20:27"
2461,52,1.5m,Is it possible to upgrade all Python packages at one time with pip? Note: that there is a feature request for this on the official issue tracker.,python pip,thedjpetersen,25.3k,"asked Apr 27, 2010 at 9:23"
2412,18,1.0m,"I have a list of dictionaries and want each item to be sorted by a specific value. Take into consideration the list: [{'name':'Homer', 'age':39}, {'name':'Bart', 'age':10}] When sorted by name, it ...",python list sorting dictionary data-structures,"10 revs, 7 users 57%",masi,masi
2385,10,2.8m,"Is there a way to convert a string from uppercase, or even part uppercase to lowercase? For example, ""Kilometers"" → ""kilometers"".",python string uppercase lowercase,Benjamin Didur,24.1k,"asked Jul 23, 2011 at 3:08"
2309,25,1.5m,Is it possible to have static class variables or methods in Python? What syntax is required to do this?,python class oop static class-variables,Andrew Walker,38.5k,"asked Sep 16, 2008 at 1:46"
2229,24,2.3m,"I'd like to do it in Python. What I'd like to do in this example in C: #include <stdio.h> int main() { int i; for (i=0; i<10; i++) printf("".""); return 0; } Output: .......",python,Andrea Ambu,36k,"asked Jan 29, 2009 at 20:58"
2174,18,927k,"What is the best way to go call a function, given a string with the function's name in a Python program. For example, let's say that I have a module foo, and I have a string whose content is ""bar&...",python object,ricree,33k,"asked Aug 6, 2008 at 3:36"
2159,11,3.6m,"Consider the following: items = [] items.append(""apple"") items.append(""orange"") items.append(""banana"") # FAKE METHOD: items.amount() # Should return 3 How do I get the number of elements in the ...",python list,y2k,63.8k,"asked Nov 11, 2009 at 0:30"
2144,18,1.9m,"Assume I have the following list: foo = ['a', 'b', 'c', 'd', 'e'] What is the simplest way to retrieve an item at random from this list?",python list random,Ray,178k,"asked Nov 20, 2008 at 18:42"
2134,15,1.2m,Is there a way in Python to determine if an object has some attribute? For example: >>> a = SomeClass() >>> a.someProperty = value >>> a.property Traceback (most recent ...,python attributes,Lucas Gabriel Sánchez,37k,"asked Mar 4, 2009 at 14:45"
2100,16,1.4m,I'm using virtualenv and the virtualenvwrapper. I can switch between virtualenv's just fine using the workon command. me@mymachine:~$ workon env1 (env1)me@mymachine:~$ workon env2 (env2)me@mymachine:~$...,python virtualenv virtualenvwrapper,Apreche,26.3k,"asked Jun 13, 2009 at 14:15"
2088,23,701k,"We are working on an S60 version and this platform has a nice Python API.. However, there is nothing official about Python on Android, but since Jython exists, is there a way to let the snake and the ...",android python jython ase android-scripting,e-satis,544k,"asked Sep 19, 2008 at 13:21"
2082,32,4.4m,"I want a to be rounded to 13.95. >>> a 13.949999999999999 >>> round(a, 2) 13.949999999999999 The round function does not work the way I expected.",python floating-point rounding precision,kevin,"asked Jan 18, 2009 at 18:16","asked Jan 18, 2009 at 18:16"
2065,10,288k,I wanted to compare reading lines of string input from stdin using Python and C++ and was shocked to see my C++ code run an order of magnitude slower than the equivalent Python code. Since my C++ is ...,python c++ benchmarking iostream getline,"28 revs, 13 users 46%",JJC,JJC
2049,33,2.4m,I have the following folder structure. application ├── app │   └── folder │   └── file.py └── app2 └── some_folder └── some_file.py I want to import some functions from file.py in ...,python importerror python-import,Ivan,24.6k,"asked Dec 8, 2010 at 2:07"
2035,25,709k,"x = "" \{ Hello \} {0} "" print(x.format(42)) gives me : Key Error: Hello\\ I want to print the output: {Hello} 42",python string format string-formatting curly-braces,Schitti,21.5k,"asked Mar 29, 2011 at 0:04"
2026,28,4.3m,How do I read every line of a file in Python and store each line as an element in a list? I want to read the file line by line and append each line to the end of the list.,python string file readlines,Julie Raswick,20.4k,"asked Jul 18, 2010 at 22:25"
2006,15,2.0m,"Is there a simple way to determine if a variable is a list, dictionary, or something else? I am getting an object back that may be either type and I need to be able to tell the difference.",python dictionary types typeof,Justin Ethier,126k,"asked Feb 8, 2010 at 21:37"
1966,19,3.4m,"How do I see the type of a variable whether it is unsigned 32 bit, signed 16 bit, etc.? How do I view it?",python types unsigned signed 16-bit,user46646,142k,"asked Dec 31, 2008 at 7:58"
1961,11,1.4m,"This has always confused me. It seems like this would be nicer: my_list = [""Hello"", ""world""] print(my_list.join(""-"")) # Produce: ""Hello-world"" Than this: my_list = [""Hello"", ""world""] print(""-"".join(...",python string list,Evan Fosmark,93.3k,"asked Jan 29, 2009 at 22:45"
1951,18,3.3m,"How do I remove an element from a list by index in Python? I found the list.remove method, but say I want to remove the last element, how do I do this? It seems like the default remove searches the ...",python list indexing,Joan Venge,287k,"asked Mar 9, 2009 at 18:16"
1941,29,2.4m,"Given an item, how can I count its occurrences in a list in Python?",python list count,weakish,26.1k,"asked Apr 8, 2010 at 13:30"
1909,27,2.2m,"What is the Python equivalent of Perl's chomp function, which removes the last character of a string if it is a newline?",python newline trailing,RidingThisToTheTop,"asked Nov 8, 2008 at 18:25","asked Nov 8, 2008 at 18:25"
1894,11,1.1m,"Is it possible to have static methods in Python which I could call without initializing a class, like: ClassName.static_method()",python static-methods,Joan Venge,287k,"asked Apr 9, 2009 at 21:23"
1889,18,2.2m,"Is there a way to delete an item from a dictionary in Python? Additionally, how can I delete an item from a dictionary to return a copy (i.e., not modifying the original)?",python dictionary del,richzilla,37.3k,"asked Apr 30, 2011 at 21:20"
1867,13,1.9m,How do you append to the file instead of overwriting it? Is there a special function that appends to the file?,python file append,user502039,"asked Jan 16, 2011 at 16:20","asked Jan 16, 2011 at 16:20"
1866,19,2.8m,When deleting a column in a DataFrame I use: del df['column_name'] And this works great. Why can't I use the following? del df.column_name Since it is possible to access the column/Series as df....,python pandas dataframe,John,36.3k,"asked Nov 16, 2012 at 6:26"
1852,23,2.4m,"Does Python have something like an empty string variable where you can do: if myString == string.empty: Regardless, what's the most elegant way to check for empty string values? I find hard coding """"...",python string comparison-operators,Joan Venge,287k,"asked Mar 5, 2012 at 20:09"
1837,19,1.2m,"What is a Pythonic way to pad a numeric string with zeroes to the left, i.e. so the numeric string has a specific length?",python string zero-padding,Faisal,"asked Dec 3, 2008 at 22:39","asked Dec 3, 2008 at 22:39"
1833,38,1.6m,What is the best possible way to check if a string can be represented as a number in Python? The function I currently have right now is: def is_number(s): try: float(s) return True ...,python casting floating-point type-conversion,Daniel Goldberg,18.7k,"asked Dec 9, 2008 at 20:03"
1784,12,707k,"Could someone explain to me the meaning of @classmethod and @staticmethod in python? I need to know the difference and the meaning. As far as I understand, @classmethod tells a class that it's a ...",python oop static-methods class-method,user1632861,"asked Aug 29, 2012 at 13:37","asked Aug 29, 2012 at 13:37"
1770,10,1.3m,How do I find out a name of class that created an instance of an object in Python if the function I am doing this from is the base class of which the class of the instance has been derived? Was ...,python introspection instanceof python-datamodel,Dan,31.4k,"asked Feb 4, 2009 at 11:37"
1753,37,2.1m,"What I want is to start counting time somewhere in my code and then get the passed time, to measure the time it took to execute few function. I think I'm using the timeit module wrong, but the docs ...",python performance measure timeit,gilbert8,17.6k,"asked Sep 10, 2011 at 9:21"
1717,44,2.0m,"I want to write a function in Python that returns different fixed values based on the value of an input index. In other languages I would use a switch or case statement, but Python does not appear ...",python switch-statement,Michael Schneider,17.9k,"asked Sep 13, 2008 at 0:36"
1703,30,1.6m,"I have a very long query. I would like to split it in several lines in Python. A way to do it in JavaScript would be using several sentences and joining them with a + operator (I know, maybe it's not ...",python string multiline multilinestring,Pablo Mescher,23.2k,"asked May 18, 2012 at 22:21"
1683,22,2.4m,"How can I generate random integers between 0 and 9 (inclusive) in Python? For example, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9",python random integer,aneuryzm,59k,"asked Oct 22, 2010 at 12:48"
1674,11,2.0m,"I am trying to install version 1.2.2 of MySQL_python, using a fresh virtualenv created with the --no-site-packages option. The current version shown in PyPi is 1.2.3. Is there a way to install the ...",python mysql pip pypi mysql-python,Joe,22.9k,"asked Mar 7, 2011 at 22:58"
1672,21,2.7m,I spent most of the day yesterday searching for a clear answer for installing pip (package manager for Python). I can't find a good solution. How do I install it?,python macos pip installation,The System,16.8k,"asked Jun 24, 2013 at 8:44"
1647,23,2.0m,"I'm trying to do some of the code golf challenges, but they all require the input to be taken from stdin. How do I get that in Python?",python stdin,tehryan,22.8k,"asked Sep 20, 2009 at 5:48"
1647,7,413k,"Python 3.3 includes in its standard library the new package venv. What does it do, and how does it differ from all the other packages that seem to match the regex (py)?(v|virtual|pip)?env?",python virtualenv virtualenvwrapper pyenv python-venv,Flimm,112k,"asked Jan 10, 2017 at 16:27"
1624,27,1.3m,Is there a function to extract the extension from a filename?,python filenames file-extension,Alex,40k,"asked Feb 12, 2009 at 14:11"
1608,16,1.1m,"There are several ways to write to stderr: # Note: this first one does not work in Python 3 print >> sys.stderr, ""spam"" sys.stderr.write(""spam\n"") os.write(2, b""spam\n"") from __future__ ...",python printing stderr zen-of-python,wim,294k,"asked Apr 7, 2011 at 0:59"
1602,33,1.2m,I want to generate a string of size N. It should be made up of numbers and uppercase English letters such as: 6U1S75 4Z4UKK U911K4 How can I achieve this in a pythonic way?,python string random,Hellnar,56.3k,"asked Feb 13, 2010 at 12:23"
1591,17,567k,"Can someone please explain the exact meaning of having single and double leading underscores before an object's name in Python, and the difference between both? Also, does that meaning stay the same ...",python oop naming-conventions identifier,"21 revs, 13 users 30%",ivanleoncz,ivanleoncz
1584,14,848k,"What's the proper way to declare custom exception classes in modern Python? My primary goal is to follow whatever standard other exception classes have, so that (for instance) any extra string I ...",python exception,Nelson,24.4k,"asked Aug 23, 2009 at 21:29"
1582,14,1.1m,What is the best way to check whether a given object is of a given type? How about checking whether the object inherits from a given type? Let's say I have an object o. How do I check whether it's a ...,python types,Herge,18k,"asked Sep 30, 2008 at 11:00"
1570,32,1.3m,"I am trying to build a shared library using a C extension file but first I have to generate the output file using the command below: gcc -Wall utilsmodule.c -o Utilc After executing the command, I ...",python gcc python-c-api,Mohanad Y.,16k,"asked Feb 3, 2014 at 15:00"
1570,14,1.7m,"I have a JSON file that is a mess that I want to prettyprint. What's the easiest way to do this in Python? I know PrettyPrint takes an ""object"", which I think can be a file, but I don't know how to ...",python json formatting pretty-print,Colleen,20.6k,"asked Oct 17, 2012 at 21:38"
1554,18,1.1m,"Imagine that you have the following list. keys = ['name', 'age', 'food'] values = ['Monty', 42, 'spam'] What is the simplest way to produce the following dictionary? a_dict = {'name': 'Monty', 'age': ...",python list dictionary type-conversion,Guido,44.1k,"asked Oct 16, 2008 at 19:05"
1527,26,1.5m,"There is no built in reverse function for Python's str object. What is the best way of implementing this method? If supplying a very concise answer, please elaborate on its efficiency. For example, ...",python string,oneself,35.7k,"asked May 31, 2009 at 2:10"
1526,21,3.3m,"I have data in different columns, but I don't know how to extract it to save it in another variable. index a b c 1 2 3 4 2 3 4 5 How do I select 'a', 'b' and save it in to df1? ...",python pandas dataframe select,user1234440,20.3k,"asked Jul 1, 2012 at 21:03"
1523,6,384k,Is there any reason for a class declaration to inherit from object? I just found some code that does this and I can't find a good reason why. class MyClass(object): # class code follows...,python class oop object inheritance,tjvr,16.1k,"asked Oct 25, 2010 at 14:15"
1521,31,684k,"Project Euler and other coding contests often have a maximum time to run or people boast of how fast their particular solution runs. With Python, sometimes the approaches are somewhat kludgey - i.e., ...",python performance optimization time-complexity profiling,Chris Lawlor,43.7k,"asked Feb 24, 2009 at 16:01"
1511,13,3.6m,"I want to convert an integer to a string in Python. I am typecasting it in vain: d = 15 d.str() When I try to convert it to string, it's showing an error like int doesn't have any attribute called ...",python string integer,Hick,33.4k,"asked Jun 7, 2009 at 10:22"
1510,9,2.7m,"I have this JSON in a file: { ""maps"": [ { ""id"": ""blabla"", ""iscategorical"": ""0"" }, { &...",python json parsing,michele,25.7k,"asked May 14, 2010 at 15:54"
1504,35,1.2m,"How can I load a Python module given its full path? Note that the file can be anywhere in the filesystem, as it is a configuration option.",python configuration python-import python-module,derfred,16.4k,"asked Sep 15, 2008 at 22:30"
1503,11,897k,So I have difficulty with the concept of *args and **kwargs. So far I have learned that: *args = list of arguments - as positional arguments **kwargs = dictionary - whose keys become separate ...,python args keyword-argument,MacPython,17.4k,"asked Aug 3, 2010 at 8:28"
1502,15,3.1m,"I'm trying to get the number of rows of dataframe df with Pandas, and here is my code. Method 1: total_rows = df.count print total_rows + 1 Method 2: total_rows = df['First_column_label'].count print ...",python pandas dataframe,yemu,21.7k,"asked Apr 11, 2013 at 8:14"
1500,7,701k,What is the Python 3 equivalent of python -m SimpleHTTPServer?,python python-3.x httpserver simplehttpserver,ryanbraganza,15.6k,"asked Oct 30, 2011 at 7:22"
1472,24,2.2m,"I am writing a quick-and-dirty script to generate plots on the fly. I am using the code below (from Matplotlib documentation) as a starting point: from pylab import figure, axes, pie, title, show # ...",python matplotlib plot,Homunculus Reticulli,58.9k,"asked Mar 8, 2012 at 17:38"
1459,17,1.0m,"I like the Python list comprehension syntax. Can it be used to create dictionaries too? For example, by iterating over pairs of keys and values: mydict = {(k,v) for (k,v) in blah blah blah} # doesn'...",python dictionary list-comprehension dictionary-comprehension,flybywire,244k,"asked Nov 17, 2009 at 10:07"
1458,13,978k,How do I force Python's print function to output to the screen?,python python-3.x printing flush,Walter Nissen,15.3k,"asked Oct 23, 2008 at 17:59"
1447,35,1.9m,"I have a command line program in Python that takes a while to finish. I want to know the exact time it takes to finish running. I've looked at the timeit module, but it seems it's only for small ...",python time execution-time,john2x,19.6k,"asked Oct 12, 2009 at 23:56"
1445,14,2.0m,"I have JSON data stored in the variable data. I want to write this to a text file for testing so I don't have to grab the data from the server each time. Currently, I am trying this: obj = open('...",python json,user1530318,21.7k,"asked Sep 6, 2012 at 22:21"
1437,7,803k,What are the differences between these two code snippets? Using type(): import types if type(a) is types.DictType: do_something() if type(b) in types.StringTypes: do_something_else() Using ...,python oop inheritance types,abbot,26.1k,"asked Oct 11, 2009 at 3:50"
1428,16,1.9m,Here is the problem: I have a requirements.txt file that looks like: BeautifulSoup==3.2.0 Django==1.3 Fabric==1.2.0 Jinja2==2.5.5 PyYAML==3.09 Pygments==1.4 SQLAlchemy==0.7.1 South==0.7.3 amqplib==0.6....,python virtualenv pip,kakarukeys,18.2k,"asked Aug 29, 2011 at 3:53"
1428,34,2.0m,I'm having problems dealing with unicode characters from text fetched from different web pages (on different sites). I am using BeautifulSoup. The problem is that the error is not always ...,python unicode beautifulsoup python-2.x python-unicode,Homunculus Reticulli,58.9k,"asked Mar 30, 2012 at 12:06"
1427,21,1.1m,"I am trying to understand threading in Python. I've looked at the documentation and examples, but quite frankly, many examples are overly sophisticated and I'm having trouble understanding them. How ...",python multithreading concurrency python-multithreading,albruno,14.4k,"asked May 17, 2010 at 4:24"
1418,16,1.0m,Python 2.6 introduced the str.format() method with a slightly different syntax from the existing % operator. Which is better and for what situations? Python 3.6 has now introduced another string ...,python performance logging string-formatting f-string,NorthIsUp,17.1k,"asked Feb 22, 2011 at 18:46"
1417,191,708k,"What are the lesser-known but useful features of the Python programming language? Try to limit answers to Python core. One feature per answer. Give an example and short description of the feature, ...",python hidden-features,"30 revs, 24 users 18%",compie,compie
1408,36,1.3m,"I have a Debian system currently running with python 2.5.4. I got virtualenv properly installed, everything is working fine. Is there a possibility that I can use a virtualenv with a different version ...",python virtualenv virtualenvwrapper,Ulf,14.8k,"asked Oct 7, 2009 at 21:11"
1387,28,1.7m,"How to get the filename without the extension from a path in Python? For instance, if I had ""/path/to/some/file.txt"", I would want ""file"".",python string path,Joan Venge,287k,"asked Mar 24, 2009 at 16:41"
1387,24,1.7m,How can I check what version of the Python Interpreter is interpreting my script?,python version,carrier,30.8k,"asked Jul 7, 2009 at 16:17"
1380,8,2.0m,How do I refer to the null object in Python?,python null,Lizard,41.3k,"asked Jul 20, 2010 at 11:53"
1380,32,511k,"This question is not for the discussion of whether or not the singleton design pattern is desirable, is an anti-pattern, or for any religious wars, but to discuss how this pattern is best implemented ...",python singleton decorator base-class metaclass,theheadofabroom,18.1k,"asked Jul 20, 2011 at 10:47"
1378,14,1.3m,"In the os module in Python, is there a way to find if a directory exists, something like: >>> os.direxists(os.path.join(os.getcwd()), 'new_folder')) # in pseudocode True/False",python directory,David542,98.7k,"asked Jan 19, 2012 at 21:03"
1377,12,1.4m,"How can I do the following in Python? row = [unicode(x.strip()) for x in row if x is not None else ''] Essentially: replace all the Nones with empty strings, and then carry out a function.",python list-comprehension,AP257,79.6k,"asked Nov 23, 2010 at 19:56"
1369,11,450k,"I have been using Python more and more, and I keep seeing the variable __all__ set in different __init__.py files. Can someone explain what this does?",python syntax namespaces,varikin,14.1k,"asked Sep 4, 2008 at 21:28"
1369,18,2.1m,"float('nan') results in Nan (not a number). But how do I check for it? Should be very easy, but I cannot find it.",python math,Jack Ha,17.3k,"asked Jun 3, 2009 at 13:19"
1342,10,867k,Can anyone please explain what setup.py is and how it can be configured or used?,python python-3.x setup.py pypi python-packaging,Software Enthusiastic,22.7k,"asked Sep 24, 2009 at 14:16"
1338,17,1.3m,"I have a series of 20 plots (not subplots) to be made in a single figure. I want the legend to be outside of the box. At the same time, I do not want to change the axes, as the size of the figure ...",python matplotlib legend,pottigopi,13.4k,"asked Jan 15, 2011 at 16:10"
1320,24,1.8m,"I have recently started studying Python, but I couldn't find how to implement multi-line comments. Most languages have block comment symbols like /* */ I tried this in Python, but it throws an ...",python comments documentation,Dungeon Hunter,18.9k,"asked Oct 8, 2011 at 12:51"
1314,12,1.4m,"How do I remove leading and trailing whitespace from a string in Python? For example: "" Hello "" --> ""Hello"" "" Hello"" --> ""Hello"" ""Hello "" --> ""Hello"" ""Bob has a cat"" --> ""Bob has a cat""...",python string trim,robert,"asked Apr 17, 2009 at 19:16","asked Apr 17, 2009 at 19:16"
1311,22,1.1m,I have been reading some source code and in several places I have seen the usage of assert. What does it mean exactly? What is its usage?,python assert assertion,Hossein,36.8k,"asked Feb 28, 2011 at 13:11"
